keyword,title,date,section,url
KOSPI,Big Win Projected for South Korea’s Left in Local Elections,2026-06-02,domestic_core,https://www.nytimes.com/2026/06/02/world/asia/south-korea-election.html
KOSPI,Oil Prices Spike as U.S. and Iran Exchange Fire,2026-06-01,domestic_core,https://www.nytimes.com/2026/06/01/business/oil-gas-price-iran.html
KOSPI,"Oil Prices Resume Decline After Ship Attack Briefly Rattled Markets. Crude prices hover at prewar levels, as trading remains volatile",2026-06-26,domestic_core,
KOSPI,"Oil Prices Jump After Attack Halts Shipping in Strait of Hormuz. Oil prices fell, moving closer to levels not seen since the war in Iran began in February",2026-06-25,domestic_core,
KOSPI,A.I. Riches Fuel Economic Divide in Asia’s Chip Powerhouses. A.I. demand is driving stock market gains and booming exports in South Korea and Taiwan. But the rest of the economy is being left behind,2026-06-24,domestic_core,
KOSPI,Oil Prices Drop on Moves to Unblock Persian Gulf Crude Supplies. Oil prices,2026-06-24,domestic_core,
KOSPI,"After Blockbuster I.P.O., SpaceX Shares Are Slumping. On Tuesday, SpaceX briefly fell below $150 a share, which was where the stock began trading when the company listed publicly just over a week ago",2026-06-23,domestic_core,
KOSPI,The Tech Sell-off Goes Global. Investors are bracing for rough trading after stocks in Asia and Europe were clobbered on Tuesday. A.I. companies like SpaceX are getting hit hard,2026-06-23,domestic_core,
KOSPI,"Tech Stocks Drive ‘Unnerving’ Sell-Off in Global Markets. Chip makers led the way down in South Korea, where the main index plunged 10.5 percent. The Nasdaq in the U.S. was down 2.2 percent",2026-06-23,domestic_core,
KOSPI,"Stocks Drop on Fed Decision, and Oil Is Muted Amid Peace Deal Talks. Traders are waiting for U.S. and Iranian officials to meet in Switzerland on Friday, when they are expected to sign an initial agreement and begin a 60-day cease-fire",2026-06-17,domestic_core,
KOSPI,Oil Prices Continue to Fall as Traders Assess U.S.-Iran Deal. Stocks were mixed after strong rallies the day before,2026-06-16,domestic_core,
KOSPI,"Oil Tumbles and Stocks Jump on Signs of a Peace Deal With Deal. Oil prices retreated and stocks rallied after President Trump called off plans for another day of strikes on Iran, saying that a peace deal could be within reach",2026-06-12,domestic_core,
KOSPI,"A.I. and the Chip Boom: Take a Quiz on New Korean Slang and Memes. What’s a “silicon-collar”? South Korea’s chip industry has been supercharged by the advent of the A.I. age, inspiring a host of new phrases",2026-06-11,domestic_core,
KOSPI,"Oil Rises on Trump’s Iran Threats and New Strikes Across Middle East. The attacks, which strained a two-month cease-fire between Iran and the United States, were the latest jolt to energy markets",2026-06-10,domestic_core,
KOSPI,"Big Win Projected for South Korea’s Left in Local Elections. President Lee Jae Myung came to office after his predecessor, a conservative, was ousted for imposing martial law. Now exit polls suggest that Mr. Lee’s popularity rippled across other contests",2026-06-02,domestic_core,
KOSPI,Oil Prices Spike as U.S. and Iran Exchange Fire. Oil prices climbed as investors weighed a renewed exchange of military strikes between the United States and Iran against signs that both sides remain engaged in negotiations,2026-06-01,domestic_core,
