ticker,name,sector,asset_class,sub_asset,sector_type,signal_return,signal_sharpe,weight
A144600,KODEX 은선물(H),real_assets,위험자산,FX및원자재,alternative,0.0021460792049765587,0.03292953222990036,0.2
A261220,KODEX WTI원유선물(H),real_assets,위험자산,FX및원자재,alternative,0.003628023900091648,0.049193307757377625,0.0
229200,KODEX 코스닥150,domestic_core,위험자산,국내주식_지수,growth,0.003218325786292553,0.05589326471090317,0.2
182480,TIGER 미국MSCI리츠(합성H),defensive,위험자산,해외주식_섹터,defensive,0.005005016922950745,0.10700095444917679,0.1
133690,TIGER 미국나스닥100,global_macro,위험자산,해외주식_지수,growth,0.0040941559709608555,0.1156095638871193,0.19999999999999996
161510,PLUS 고배당주,defensive,위험자산,국내주식_섹터,defensive,0.0021362437400966883,0.0541883148252964,0.0
69500,KODEX 200,domestic_core,위험자산,국내주식_지수,growth,0.004356894642114639,0.1251809149980545,0.0
A439870,KODEX 국고채30년액티브,sovereign_kr,안전자산,국내채권_종합,defensive,0.0012482117163017392,0.040726810693740845,0.2
241180,TIGER 일본니케이225,global_macro,위험자산,해외주식_지수,growth,0.0025446561630815268,0.08275879174470901,0.0
174350,TIGER 로우볼,defensive,위험자산,국내주식_섹터,defensive,0.003526297863572836,0.115533746778965,0.0
A411060,ACE KRX금현물,real_assets,위험자산,FX및원자재,alternative,0.002679238561540842,0.1042603924870491,0.0
360750,TIGER 미국S&P500,global_macro,위험자산,해외주식_지수,growth,0.003976647276431322,0.15348148345947266,0.0
251350,KODEX 선진국MSCI World,global_macro,위험자산,해외주식_지수,growth,0.004257633350789547,0.16503165662288666,0.0
402970,ACE 미국배당다우존스,defensive,위험자산,해외주식_지수,defensive,0.00307684694416821,0.12460587918758392,0.0
A261240,KODEX 미국달러선물,real_assets,위험자산,FX및원자재,alternative,0.0011167199118062854,0.06012367084622383,0.0
A305080,TIGER 미국채10년선물,sovereign_us,안전자산,해외채권_종합,defensive,0.00017707605729810894,0.009170799516141415,0.10000000000000009
