ticker,name,sector,asset_class,sub_asset,sector_type,signal_return,signal_sharpe,weight
A487240,KODEX AI전력핵심설비,tech_future,위험자산,국내주식_섹터,growth,0.0503588,2.1157193,0.15789473684210525
A195970,PLUS 선진국MSCI(합성 H),global_macro,위험자산,해외주식_지수,growth,0.024835702,1.9490134,0.11442908921769865
A430500,KIWOOM 물가채KIS,rate_cash,안전자산,금리연계형/초단기채권,defensive,0.0057349843,1.4793465,0.10636571553943494
A379790,RISE 유로스탁스50(H),global_macro,위험자산,해외주식_지수,growth,0.016848775,1.8587703,0.10716706179841447
A459580,KODEX CD금리액티브(합성),rate_cash,안전자산,금리연계형/초단기채권,defensive,0.0006097078,1.3276799,0.09246847411696996
A448290,TIGER 미국S&P500TR(H),global_macro,위험자산,해외주식_지수,growth,0.011563141,1.676693,0.09419332266809742
A455890,RISE 머니마켓액티브,rate_cash,안전자산,금리연계형/초단기채권,defensive,0.0006853471,1.2865082,0.08907076186283044
A423160,KODEX KOFR금리액티브(합성),rate_cash,안전자산,금리연계형/초단기채권,defensive,0.0005920257,1.1966524,0.08207437899588631
A196230,RISE 단기통안채,rate_cash,안전자산,금리연계형/초단기채권,defensive,0.00056702644,1.1504129,0.07869175374940598
A153130,KODEX 단기채권,rate_cash,안전자산,금리연계형/초단기채권,defensive,0.00059552834,1.135681,0.0776447052091566
