ticker,name,sector,sub_asset,w_conservative,signal_return,w_aggressive
182480,TIGER 미국MSCI리츠(합성H),defensive,해외주식_섹터,0.08007014,0.005005017,1.0
133690,TIGER 미국나스닥100,global_macro,해외주식_지수,0.0732592,0.004094156,0.0
174350,TIGER 로우볼,defensive,국내주식_섹터,0.08064778,0.0035262979,0.0
251350,KODEX 선진국MSCI World,global_macro,해외주식_지수,0.07584171,0.0042576334,0.0
360750,TIGER 미국S&P500,global_macro,해외주식_지수,0.07522466,0.0039766473,0.0
402970,ACE 미국배당다우존스,defensive,해외주식_지수,0.07567442,0.003076847,0.0
423160,KODEX KOFR금리액티브(합성),rate_cash,금리연계형_초단기채권,0.15334652,0.0006964149,0.0
459580,KODEX CD금리액티브(합성),rate_cash,금리연계형_초단기채권,0.15334652,0.0007448139,0.0
69500,KODEX 200,domestic_core,국내주식_지수,0.07924259,0.0043568946,0.0
A157450,TIGER 단기통안채,sovereign_kr,국내채권_종합,0.15334652,0.00042837896,0.0
