ticker,name,sector,asset_class,sub_asset,sector_type,signal_return,signal_sharpe,weight
459580,KODEX CD금리액티브(합성),rate_cash,안전자산,금리연계형_초단기채권,defensive,0.0005440615,0.38640225,0.120079555
423160,KODEX KOFR금리액티브(합성),rate_cash,안전자산,금리연계형_초단기채권,defensive,0.00047263576,0.3471876,0.11586681
A261220,KODEX WTI원유선물(H),real_assets,위험자산,FX및원자재,alternative,0.016004797,0.29455647,0.10430375
A453850,ACE 미국30년국채액티브(H),sovereign_us,안전자산,해외채권_종합,defensive,0.0037904305,0.20813608,0.10222726
A157450,TIGER 단기통안채,sovereign_kr,안전자산,금리연계형_초단기채권,defensive,0.00022987228,0.17822279,0.09934401
157450,TIGER 단기통안채,rate_cash,안전자산,금리연계형_초단기채권,defensive,0.00018313939,0.12137564,0.0943338
182480,TIGER 미국MSCI리츠(합성H),defensive,위험자산,해외주식_섹터,defensive,0.0032773833,0.098902,0.09253577
A411060,ACE KRX금현물,real_assets,위험자산,FX및원자재,alternative,0.0030757303,0.12340531,0.0921689
402970,ACE 미국배당다우존스,defensive,위험자산,해외주식_지수,defensive,0.0019439587,0.07522687,0.09051639
174350,TIGER 로우볼,defensive,위험자산,국내주식_섹터,defensive,0.0017555614,0.052086595,0.08862374
