date,strategy,n_holdings,expected_return,realized_return
2025-01-02,conservative,10,0.005700765177607536,0.0284988848486836
2025-01-02,aggressive,5,0.011279959231615067,0.06964671786961711
2025-01-02,equal_weight,29,,0.01057939748495614
2025-01-06,conservative,10,0.005471000447869301,-0.0009574385396844346
2025-01-06,aggressive,5,0.010715647600591183,0.0014554987300922524
2025-01-06,equal_weight,29,,-0.006840604852690144
2025-01-13,conservative,10,0.00547007005661726,0.01660851990490461
2025-01-13,aggressive,5,0.010962641797959805,0.03419443943947545
2025-01-13,equal_weight,29,,0.012364699408887493
2025-01-20,conservative,10,0.004963291808962822,-0.00871968454161193
2025-01-20,aggressive,5,0.009697675704956055,-0.024609440216626335
2025-01-20,equal_weight,29,,0.003146695415540376
2025-01-31,conservative,10,0.005153403151780367,-0.0053414982020205636
2025-01-31,aggressive,4,0.011263658292591572,-0.018916489100441473
2025-01-31,equal_weight,29,,0.00044708522135414124
2025-02-03,conservative,10,0.005129695404320955,0.007794355235293883
2025-02-03,aggressive,5,0.010066325776278973,0.03298679576974719
2025-02-03,equal_weight,29,,0.014326059962395846
2025-02-10,conservative,10,0.00522968266159296,0.011114633408068978
2025-02-10,aggressive,4,0.011533456854522228,0.025158686672021324
2025-02-10,equal_weight,29,,0.01051896447963074
2025-02-17,conservative,10,0.004750138148665428,0.0021099978542910396
2025-02-17,aggressive,4,0.011078255251049995,0.02837857806212938
2025-02-17,equal_weight,29,,-0.004117731952152007
2025-02-24,conservative,10,0.004394830204546452,-0.025565902315330236
2025-02-24,aggressive,3,0.013436324894428253,-0.06863801242407894
2025-02-24,equal_weight,29,,-0.015424658459690281
2025-03-04,conservative,10,0.004393190145492554,-0.0017205122683824636
2025-03-04,aggressive,3,0.012778179720044136,-0.008287087518338763
2025-03-04,equal_weight,29,,-0.01129011872104082
2025-03-10,conservative,10,0.005669482052326202,0.006444866949030644
2025-03-10,aggressive,5,0.011021975427865982,0.017051164208116962
2025-03-10,equal_weight,29,,-0.0007837390323870988
2025-03-17,conservative,10,0.005451446399092674,0.0021767414678492913
2025-03-17,aggressive,4,0.011548560112714767,0.0011056298091455
2025-03-17,equal_weight,29,,0.012683271222041676
2025-03-24,conservative,10,0.004931577946990728,-0.015603492664206325
2025-03-24,aggressive,3,0.014231879264116287,-0.054096185188649705
2025-03-24,equal_weight,29,,-0.019894582076590252
2025-03-31,conservative,10,0.0047722565941512585,-0.03293374934101481
2025-03-31,aggressive,3,0.013552065938711166,-0.08509670701189313
