ticker,name,sector,asset_class,sub_asset,sector_type,signal_return,signal_sharpe,weight
459580,KODEX CD금리액티브(합성),rate_cash,안전자산,금리연계형_초단기채권,defensive,0.00075944583,1.9624562,0.16334432104865662
423160,KODEX KOFR금리액티브(합성),rate_cash,안전자산,금리연계형_초단기채권,defensive,0.00069735653,1.7858489,0.16334432104865662
A157450,TIGER 단기통안채,sovereign_kr,안전자산,국내채권_종합,defensive,0.0004268214,0.8850689,0.16334432104865662
A453870,TIGER 인도니프티50,IndiaEquity,위험자산,해외주식_지수,growth,0.0057738572,0.24575113,0.08859356633446024
133690,TIGER 미국나스닥100,global_macro,위험자산,해외주식_지수,growth,0.008205167,0.22032207,0.08709404163770508
A381170,TIGER 미국테크TOP10 INDXX,BigTech,위험자산,해외주식_섹터,growth,0.009396425,0.20285712,0.05035586360980495
182480,TIGER 미국MSCI리츠(합성H),defensive,위험자산,해외주식_섹터,defensive,0.0060898527,0.14088927,0.04964414275325926
174350,TIGER 로우볼,defensive,위험자산,국내주식_섹터,defensive,0.003928802,0.14139068,0.07570919731104456
69500,KODEX 200,domestic_core,위험자산,국내주식_지수,growth,0.0057077277,0.17446238,0.08427941297420442
A091160,KODEX 반도체,Semiconductor,위험자산,국내주식_섹터,growth,0.008917405,0.15515788,0.07429081223355176
