date,regime,reason
2025-01-02,conservative,defensive
2025-01-06,conservative,defensive
2025-01-13,conservative,defensive
2025-01-20,aggressive,momentum
2025-01-31,aggressive,momentum
2025-02-03,conservative,defensive
2025-02-10,conservative,defensive
2025-02-17,conservative,defensive
2025-02-24,conservative,defensive
2025-03-04,conservative,defensive
2025-03-10,conservative,defensive
2025-03-17,conservative,defensive
2025-03-24,conservative,defensive
2025-03-31,conservative,defensive
2025-04-07,conservative,sentiment_stoploss
2025-04-14,conservative,defensive
2025-04-21,conservative,defensive
2025-04-28,conservative,sentiment_stoploss
2025-05-07,conservative,defensive
2025-05-12,conservative,defensive
2025-05-19,conservative,defensive
2025-05-26,conservative,defensive
2025-06-02,aggressive,momentum
2025-06-09,aggressive,momentum
2025-06-16,aggressive,momentum
2025-06-23,aggressive,momentum
2025-06-30,aggressive,momentum
2025-07-07,aggressive,momentum
2025-07-14,aggressive,momentum
2025-07-21,aggressive,momentum
2025-07-28,aggressive,momentum
2025-08-04,aggressive,momentum
2025-08-11,aggressive,momentum
2025-08-18,conservative,sentiment_stoploss
2025-08-25,aggressive,momentum
2025-09-01,aggressive,momentum
2025-09-08,conservative,defensive
2025-09-15,conservative,sentiment_stoploss
2025-09-22,aggressive,momentum
2025-09-29,aggressive,momentum
2025-10-10,aggressive,momentum
2025-10-13,conservative,defensive
2025-10-20,conservative,defensive
2025-10-27,conservative,defensive
2025-11-03,conservative,defensive
2025-11-10,conservative,defensive
2025-11-17,conservative,defensive
2025-11-24,conservative,defensive
2025-12-01,conservative,defensive
2025-12-08,conservative,defensive
2025-12-15,conservative,defensive
2025-12-22,conservative,defensive
